         73065575 function calls (72108445 primitive calls) in 193.787 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    120/1    0.001    0.000  193.804  193.804 {built-in method builtins.exec}
        1   18.819   18.819   66.888   66.888 /Users/lilli/Desktop/ISSI_code/model/field/bfield_model.py:7(magnetic_field)
        1   13.290   13.290   62.824   62.824 /Users/lilli/Desktop/ISSI_code/model/field/bfield_model.py:204(bz_partial_derivatives)
 27500000   49.071    0.000   49.071    0.000 /Users/lilli/Desktop/ISSI_code/model/field/utility/poloidal.py:23(dphidz)
 27500000   47.004    0.000   47.004    0.000 /Users/lilli/Desktop/ISSI_code/model/field/utility/poloidal.py:5(phi)
        1    0.003    0.003   44.432   44.432 /Users/lilli/Desktop/ISSI_code/load/read_file.py:267(read_fits_soar)
        1    0.000    0.000   34.134   34.134 /Users/lilli/Desktop/ISSI_code/plot/plot_magnetogram.py:9(plot_magnetogram_boundary)
      3/2    0.000    0.000   32.977   16.489 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/__init__.py:1462(inner)
        2    0.000    0.000   32.907   16.454 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axes/_axes.py:6521(contourf)
        2    0.000    0.000   32.907   16.454 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/contour.py:760(__init__)
        2    0.907    0.453   32.815   16.407 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/contour.py:1120(_make_paths_from_contour_generator)
     1871   31.860    0.017   31.860    0.017 {built-in method contourpy._contourpy.create_filled_contour}
        1    0.004    0.004   16.067   16.067 /Users/lilli/Desktop/ISSI_code/plot/plot_magnetogram.py:71(plot_fieldlines_grid)
        3    0.000    0.000   11.498    3.833 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/pyplot.py:482(show)
        3    0.000    0.000   11.498    3.833 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/backend_bases.py:3421(show)
        3    0.000    0.000   11.488    3.829 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:177(start_main_loop)
        3    9.187    3.062   11.487    3.829 {built-in method matplotlib.backends._macosx.show}
        4   10.256    2.564   10.256    2.564 {built-in method builtins.input}
      640    0.267    0.000    8.724    0.014 /Users/lilli/Desktop/ISSI_code/plot/linetracer/fieldline3D.py:494(fieldline3d)
        3    0.000    0.000    5.798    1.933 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
    140/3    0.001    0.000    5.791    1.930 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/dispatcher.py:915(compile)
     14/3    0.000    0.000    5.790    1.930 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/dispatcher.py:124(compile)
     14/3    0.000    0.000    5.790    1.930 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/dispatcher.py:131(_compile_cached)
     14/3    0.001    0.000    5.790    1.930 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/dispatcher.py:146(_compile_core)
     14/3    0.000    0.000    5.790    1.930 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/compiler.py:744(compile_extra)
